Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2016-01-01,1,Market Update: Retail stock inflation data comes in lower,Market Update: Retail stock fed signals rate cuts,Market Update: Banking stock secures major contract,News: Treasury sector rotation observed,Market Update: Retail stock secures major contract,Market Update: Banking stock surges to record highs,Market Update: Tech stock secures major contract,News: Fed sector rotation observed,Market Update: Energy stock beats earnings estimates,Market Update: Banking stock inflation data comes in lower,News: SEC to announce results,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Retail stock tech sector leads rally,Market Update: Retail stock upgrades outlook,News: Treasury sector rotation observed,News: Fed sector rotation observed,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Banking stock beats earnings estimates,News: Treasury trading volume light,Market Update: Tech stock tech sector leads rally,News: Fed trading volume light,Market Update: Energy stock upgrades outlook,Market Update: Retail stock surges to record highs,News: Fed markets await data,News: SEC to announce results
2016-01-02,0,News: ECB sector rotation observed,Market Update: Tech stock tech sector leads rally,Market Update: Retail stock tech sector leads rally,News: Treasury to announce results,News: ECB trading volume light,News: Treasury trading volume light,Market Update: Tech stock secures major contract,Market Update: Banking stock tech sector leads rally,Market Update: Banking stock surges to record highs,Market Update: Energy stock surges to record highs,Market Update: Energy stock consumer confidence spikes,Market Update: Energy stock beats earnings estimates,Market Update: Tech stock inflation data comes in lower,Market Update: Retail stock surges to record highs,News: Fed to announce results,Market Update: Retail stock inflation data comes in lower,Market Update: Retail stock inflation data comes in lower,Market Update: Banking stock beats earnings estimates,News: Fed to announce results,News: Treasury keeps rates unchanged,News: Fed sector rotation observed,News: SEC to announce results,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock secures major contract,News: ECB to announce results
2016-01-03,0,News: Fed markets await data,Breaking: Tech sector inflation accelerates,Breaking: Banking sector fed hawkish on rates,Breaking: Banking sector faces regulatory probe,News: SEC trading volume light,Breaking: Energy sector downgrades guidance,Breaking: Banking sector jobless claims rise,Breaking: Retail sector misses revenue targets,Breaking: Tech sector misses revenue targets,Breaking: Banking sector faces regulatory probe,Breaking: Tech sector jobless claims rise,Breaking: Energy sector jobless claims rise,News: SEC releases meeting minutes,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector jobless claims rise,Breaking: Banking sector plunges on weak earnings,News: Fed keeps rates unchanged,News: Treasury releases meeting minutes,News: Fed releases meeting minutes,Breaking: Energy sector sell-off accelerates,Breaking: Tech sector jobless claims rise,Breaking: Energy sector jobless claims rise,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector faces regulatory probe,Breaking: Retail sector consumer spending slows
2016-01-04,0,Breaking: Banking sector fed hawkish on rates,News: SEC keeps rates unchanged,Breaking: Tech sector plunges on weak earnings,News: SEC keeps rates unchanged,Breaking: Tech sector misses revenue targets,Breaking: Tech sector plunges on weak earnings,Breaking: Retail sector misses revenue targets,Breaking: Tech sector plunges on weak earnings,News: Treasury keeps rates unchanged,Breaking: Retail sector fed hawkish on rates,Breaking: Energy sector jobless claims rise,News: ECB sector rotation observed,News: Fed markets await data,News: Fed sector rotation observed,Breaking: Retail sector downgrades guidance,Breaking: Banking sector inflation accelerates,News: ECB markets await data,Breaking: Energy sector fed hawkish on rates,Breaking: Tech sector misses revenue targets,News: ECB keeps rates unchanged,Breaking: Tech sector faces regulatory probe,News: Treasury releases meeting minutes,Breaking: Retail sector consumer spending slows,Breaking: Energy sector plunges on weak earnings,Breaking: Banking sector jobless claims rise
2016-01-05,1,News: Fed to announce results,Market Update: Retail stock beats earnings estimates,News: SEC sector rotation observed,Market Update: Tech stock upgrades outlook,News: Fed keeps rates unchanged,News: Treasury trading volume light,Market Update: Energy stock secures major contract,Market Update: Banking stock secures major contract,News: Fed releases meeting minutes,Market Update: Energy stock consumer confidence spikes,Market Update: Retail stock secures major contract,News: SEC sector rotation observed,Market Update: Banking stock secures major contract,News: SEC to announce results,Market Update: Tech stock tech sector leads rally,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Banking stock inflation data comes in lower,Market Update: Energy stock upgrades outlook,Market Update: Banking stock fed signals rate cuts,News: Fed to announce results,News: Treasury keeps rates unchanged,Market Update: Banking stock tech sector leads rally,Market Update: Tech stock inflation data comes in lower,Market Update: Energy stock consumer confidence spikes,Market Update: Retail stock inflation data comes in lower
2016-01-06,0,Breaking: Tech sector fed hawkish on rates,Breaking: Banking sector sell-off accelerates,News: SEC to announce results,News: SEC to announce results,Breaking: Banking sector consumer spending slows,News: ECB markets await data,Breaking: Banking sector downgrades guidance,Breaking: Banking sector sell-off accelerates,Breaking: Retail sector plunges on weak earnings,Breaking: Energy sector sell-off accelerates,Breaking: Energy sector misses revenue targets,Breaking: Tech sector plunges on weak earnings,News: Treasury trading volume light,Breaking: Tech sector plunges on weak earnings,Breaking: Retail sector fed hawkish on rates,Breaking: Tech sector fed hawkish on rates,News: ECB keeps rates unchanged,Breaking: Banking sector sell-off accelerates,Breaking: Tech sector downgrades guidance,Breaking: Tech sector fed hawkish on rates,Breaking: Tech sector jobless claims rise,News: SEC releases meeting minutes,Breaking: Energy sector fed hawkish on rates,Breaking: Tech sector fed hawkish on rates,Breaking: Tech sector sell-off accelerates
2016-01-07,0,Breaking: Tech sector jobless claims rise,News: ECB to announce results,Breaking: Retail sector consumer spending slows,Breaking: Tech sector jobless claims rise,News: ECB markets await data,News: Fed to announce results,Breaking: Energy sector consumer spending slows,News: ECB sector rotation observed,Breaking: Energy sector downgrades guidance,News: SEC trading volume light,Breaking: Banking sector downgrades guidance,Breaking: Retail sector jobless claims rise,Breaking: Retail sector consumer spending slows,News: Fed to announce results,Breaking: Energy sector consumer spending slows,Breaking: Energy sector faces regulatory probe,News: SEC trading volume light,News: SEC trading volume light,News: ECB trading volume light,News: Fed markets await data,Breaking: Retail sector inflation accelerates,Breaking: Banking sector downgrades guidance,Breaking: Tech sector misses revenue targets,News: Fed sector rotation observed,Breaking: Energy sector sell-off accelerates
2016-01-08,0,Breaking: Tech sector inflation accelerates,Breaking: Energy sector plunges on weak earnings,Breaking: Energy sector sell-off accelerates,Breaking: Banking sector sell-off accelerates,Breaking: Energy sector downgrades guidance,News: SEC to announce results,Breaking: Banking sector fed hawkish on rates,Breaking: Energy sector downgrades guidance,Breaking: Tech sector misses revenue targets,Breaking: Retail sector plunges on weak earnings,News: Treasury trading volume light,News: ECB to announce results,Breaking: Tech sector misses revenue targets,Breaking: Energy sector inflation accelerates,Breaking: Banking sector jobless claims rise,Breaking: Banking sector downgrades guidance,Breaking: Banking sector downgrades guidance,Breaking: Energy sector sell-off accelerates,Breaking: Banking sector consumer spending slows,News: ECB markets await data,Breaking: Tech sector consumer spending slows,Breaking: Retail sector sell-off accelerates,Breaking: Banking sector jobless claims rise,News: ECB sector rotation observed,News: Fed releases meeting minutes
2016-01-09,0,Breaking: Retail sector consumer spending slows,Breaking: Banking sector jobless claims rise,Breaking: Tech sector downgrades guidance,News: Fed releases meeting minutes,Breaking: Banking sector downgrades guidance,Breaking: Banking sector downgrades guidance,News: SEC to announce results,Breaking: Retail sector consumer spending slows,Breaking: Tech sector jobless claims rise,Breaking: Retail sector jobless claims rise,Breaking: Energy sector faces regulatory probe,Breaking: Retail sector fed hawkish on rates,News: Treasury keeps rates unchanged,News: Treasury to announce results,Breaking: Tech sector consumer spending slows,Breaking: Tech sector misses revenue targets,News: SEC sector rotation observed,News: ECB sector rotation observed,Breaking: Retail sector consumer spending slows,Breaking: Retail sector fed hawkish on rates,News: Treasury trading volume light,News: Treasury releases meeting minutes,News: ECB sector rotation observed,Breaking: Tech sector inflation accelerates,Breaking: Banking sector downgrades guidance
2016-01-10,0,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector jobless claims rise,Breaking: Retail sector jobless claims rise,Breaking: Retail sector faces regulatory probe,Breaking: Retail sector consumer spending slows,Breaking: Energy sector fed hawkish on rates,Breaking: Tech sector inflation accelerates,News: ECB sector rotation observed,Breaking: Energy sector consumer spending slows,News: Fed keeps rates unchanged,Breaking: Energy sector faces regulatory probe,Breaking: Retail sector inflation accelerates,News: Treasury trading volume light,Breaking: Banking sector fed hawkish on rates,Breaking: Energy sector plunges on weak earnings,Breaking: Banking sector consumer spending slows,Breaking: Energy sector plunges on weak earnings,Breaking: Tech sector inflation accelerates,Breaking: Energy sector misses revenue targets,Breaking: Retail sector plunges on weak earnings,News: Treasury markets await data,News: ECB sector rotation observed,Breaking: Retail sector sell-off accelerates,Breaking: Retail sector faces regulatory probe,Breaking: Banking sector sell-off accelerates
